v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,salary
34,47,43,16,2.1,4,0,0,2.1,4,0.532,0.7,1,1.4,4.1,1.4,0.1,0.5,1.1,2,5,12.8,0.562,0,0.258,9.8,26.5,18.4,12,0.4,2.5,19.4,14.4,0.6,0.8,1.4,0.089,-1.7,0.4,-1.3,0.1,16.42301957
34,76,63,31.3,5.9,13.5,3.2,8,2.8,5.6,0.557,3,3.4,0.3,2.2,2.7,0.4,0.2,1.3,1.7,18.1,15.1,0.602,0.589,0.248,0.9,7.2,4.1,12.9,0.6,0.6,8.1,21.9,4.6,1.2,5.9,0.118,2.2,-2,0.2,1.3,16.41718491
26,81,0,27.3,6.5,14.6,1.8,5.5,4.8,9.1,0.509,2,2.4,1,2.3,2.4,0.7,0.2,1.7,1.4,16.8,16.8,0.539,0.377,0.163,3.9,9.9,6.8,15.6,1.3,0.5,9.6,27.6,1.9,-0.1,1.8,0.039,2.1,-2.6,-0.5,0.8,16.41355986
29,64,52,25.1,4,8.2,1.3,3.4,2.8,4.8,0.571,1.4,1.8,1.6,5.9,1.4,1.1,1.1,1.3,3.3,10.8,16,0.602,0.413,0.215,6.7,25,15.7,8.1,2,3.8,12.7,16.7,2.1,1.9,4,0.119,-0.3,0.8,0.5,1,16.4057777
24,72,72,27.4,5.8,11.5,0,0.4,5.8,11.1,0.51,3.9,5.1,3.4,7,3.2,1,1.4,2.3,3.5,15.6,23.4,0.57,0.035,0.442,13.4,26.7,20.2,17.9,1.7,4.2,14.6,24.7,4.4,3.3,7.8,0.189,2.1,1.7,3.7,2.8,16.39002937
22,66,52,29.7,4.9,11.3,1.5,3.9,3.5,7.5,0.497,1.3,2.1,1,4.4,4.3,1.1,0.3,2.2,2.7,12.6,12.8,0.513,0.342,0.183,3.4,15.9,9.6,21.9,1.8,0.9,14.9,20.8,0.2,2.6,2.8,0.067,-1.3,0.7,-0.6,0.7,16.38045992
30,81,81,30.7,5.5,10.4,0.6,1.8,4.8,8.6,0.557,1.1,1.7,2.4,4.1,2.5,1.5,0.4,1.5,2.4,12.6,16.2,0.569,0.174,0.161,8.7,14.4,11.7,12,2.4,1.3,12,18,3,3.9,6.9,0.133,0.4,1.1,1.5,2.2,16.37273787
28,43,38,27.7,4.3,10.7,1.6,4.6,2.7,6.1,0.475,1.3,1.7,0.7,3.9,2.9,0.4,0.5,1.5,1.9,11.5,11,0.501,0.426,0.161,2.9,15.3,9.1,14.6,0.7,1.6,11.7,20,0.1,1.1,1.2,0.049,-1.1,-0.8,-1.8,0,16.36314049
33,34,6,12.6,1.6,3.8,0.5,1.6,1.1,2.2,0.473,0.4,0.6,0.3,1.3,1.1,0.6,0.1,0.4,0.9,4,10.3,0.492,0.426,0.163,2.2,11.2,6.7,12.8,2.4,0.6,9.2,15.3,0.1,0.4,0.4,0.05,-3.4,0.8,-2.5,-0.1,16.36179997
27,44,15,20,1.5,4,0.7,2.3,0.8,1.8,0.472,0.5,0.7,0.8,2.3,1.3,0.5,0.2,0.7,1.8,4.3,6.8,0.497,0.567,0.18,4.1,11.5,7.8,7.6,1.2,0.9,13.9,10.4,0.1,0.4,0.5,0.029,-3.1,-0.4,-3.6,-0.3,16.3617303
26,67,30,26.8,3.7,7.1,0.5,1.5,3.2,5.7,0.554,1.4,2,2.5,5.7,3.2,1.5,0.6,1.4,2.9,9.4,18.6,0.583,0.205,0.28,10,24.9,17.1,17.8,2.8,1.9,15.3,15.5,3.3,1.6,4.9,0.131,1,1.4,2.4,2,16.35925773
27,79,36,22.9,3.3,7.1,1.4,4,1.9,3.1,0.563,1.9,2.3,0.9,3.8,1.8,0.7,0.5,1.4,2.3,10,14.4,0.61,0.566,0.328,4.2,17.8,11,11.4,1.4,1.8,15,18,2.3,2.5,4.7,0.126,-0.2,0.9,0.7,1.2,16.35458061
24,80,60,27.5,3,7.1,1.6,4.3,1.4,2.8,0.533,1.3,1.6,0.7,2.2,4,1.8,0.4,1.5,2.5,8.9,13.1,0.568,0.61,0.228,2.8,8.6,5.7,19.1,3.1,1.1,16.5,14.6,2.2,3.1,5.3,0.116,-1.2,2,0.8,1.5,16.34551572
30,18,0,9.6,1.8,2.7,0,0,1.8,2.7,0.667,0.9,1.7,0.9,1.3,0.9,0.3,0.2,0.6,0.8,4.4,18.9,0.654,0,0.625,9.5,14.3,11.8,14.7,1.6,2,14,16.7,0.4,0.1,0.5,0.145,1.6,0,1.6,0.2,16.3412392
27,46,25,27.1,5.2,11.8,2.5,6.9,2.7,4.9,0.546,2.3,2.7,1.3,6.1,1.2,0.7,0.7,1,2.3,15.2,17.2,0.584,0.587,0.229,5.1,22.6,14,6.2,1.2,2.2,7.4,21.4,2,1.4,3.5,0.133,2.1,-0.6,1.5,1.1,16.3412392
27,81,0,26.5,5.4,12.7,2.7,7,2.8,5.7,0.534,1.6,1.8,0.3,3.1,1.7,0.9,0.4,1.1,1.5,15.1,15.4,0.561,0.551,0.14,1.3,12.8,7,9.9,1.6,1.1,7.6,23.9,1.7,2.6,4.3,0.095,1.1,-0.3,0.8,1.5,16.3412392
30,82,1,23.3,3.4,8.1,1.9,4.9,1.5,3.2,0.545,1.1,1.3,0.3,1.9,3,0.6,0.1,1.1,1.6,9.9,13.2,0.572,0.609,0.155,1.4,8.9,5.2,17.6,1.3,0.4,11.6,18.5,2.2,1.2,3.5,0.087,0.4,-0.8,-0.3,0.8,16.33550849
29,69,18,20.3,3.7,9.6,1.1,3.1,2.6,6.4,0.448,1.7,2.3,0.5,2.4,2.4,0.8,0.3,1.7,1.7,10.2,11.5,0.483,0.327,0.242,2.7,13,7.9,17.5,2,1.1,13.9,26.4,-1.7,2,0.3,0.01,-2.4,-0.3,-2.7,-0.2,16.33320703
30,78,49,27.4,2.5,6.1,1.4,3.6,1.1,2.5,0.524,1.2,1.6,1,4,3.8,0.9,0.6,1.1,3.4,7.6,11.8,0.561,0.591,0.258,3.9,15,9.6,18.4,1.5,1.6,13.8,12.2,2.8,2,4.8,0.108,-0.3,1.2,0.9,1.5,16.32881676
33,69,69,34,4.3,10.7,2.1,6.3,2.2,4.4,0.498,1.9,2.4,0.7,4.7,3.7,1.3,0.3,1.5,1.9,12.5,12,0.534,0.59,0.223,2.3,15.2,8.6,14.8,1.8,0.7,11.6,16.6,1.3,1.2,2.5,0.052,-0.7,-0.6,-1.3,0.4,16.31654659
30,81,81,28.7,4.4,9.7,2.3,6.3,2.1,3.4,0.571,1.4,1.6,0.4,4.5,1.2,0.6,2.2,1,2.3,12.5,14.6,0.597,0.651,0.169,1.5,15,8.7,5.7,1,6.5,8.9,16.7,2.3,4.3,6.7,0.138,0.4,1.8,2.2,2.4,16.30813923
27,82,9,25.2,2.8,6.7,0.7,2.1,2.1,4.6,0.463,0.4,0.5,0.5,2.9,3.9,1.1,0.3,1,1.6,6.5,11,0.474,0.312,0.078,2.1,12.6,7.5,20.7,2.2,0.9,12.4,13.7,0.5,2.9,3.5,0.081,-2.1,1.7,-0.4,0.9,16.30041721
31,82,82,31.3,4.4,9.8,2.3,5.9,2.1,3.9,0.565,1.1,1.5,0.4,3.6,5.7,1.2,0.2,2.4,2.2,12.1,13.4,0.581,0.602,0.153,1.5,12.2,7,26.1,1.8,0.6,18.4,17.5,2.5,3.6,6,0.113,0.3,1.1,1.4,2.2,16.29662218
27,74,12,17.6,2.2,4.9,1.1,2.8,1.1,2.1,0.564,0.5,0.6,0.4,1.7,0.9,0.4,0.2,0.3,1.2,6,10.7,0.585,0.565,0.116,2.4,9.4,6.1,6.7,0.9,1.2,5.7,12.9,1.6,1.6,3.2,0.117,-1,0.3,-0.7,0.4,16.24849714
28,35,35,34.4,4.5,10.3,2.4,6.4,2,3.9,0.548,1.9,2.5,0.8,4.7,1.3,2.1,1.3,1.3,3.6,13.3,13.3,0.58,0.622,0.246,2.5,14.6,8.5,5.2,2.9,3.2,10.5,15.6,0.9,1.6,2.5,0.1,-0.5,2.1,1.6,1.1,16.24042115
26,61,2,14.4,2.2,4,0.8,1.8,1.3,2.1,0.649,0.7,0.8,0.8,3,1.2,0.2,0.1,0.7,1.7,5.9,15.8,0.675,0.459,0.211,6.1,21.8,14.2,11.8,0.7,0.8,14,14.8,2.1,0.9,3,0.164,1.5,0.3,1.8,0.8,16.2391193
25,60,53,23.6,3.2,6.5,0.6,2,2.6,4.5,0.53,0.8,1.2,1.3,3.2,1.2,1.1,0.9,0.8,2.7,7.7,13.2,0.547,0.309,0.188,5.9,14.1,10.1,7.1,2.3,3,9.7,13.9,1.5,1.9,3.4,0.114,-1,1.7,0.7,1,16.21442658
25,43,36,31.6,6.9,14.2,1.8,4.2,5.1,10,0.549,2.3,2.9,0.7,3.3,1.5,1.2,0.7,1.2,2.8,18,16.3,0.58,0.295,0.203,2.5,11.8,7.1,7.7,1.8,1.8,7.2,22.7,1.6,0.5,2.1,0.074,0.9,-1.1,-0.2,0.6,16.19598219
25,68,4,28.1,5.4,12.2,1.8,5.4,3.6,6.7,0.517,4.2,5.2,0.4,2.1,4.6,0.6,0.3,2.2,2.8,16.8,16.3,0.58,0.447,0.43,1.4,7.6,4.6,25.6,1,0.7,13.4,24.9,3.5,1.4,4.8,0.121,1.4,-0.8,0.6,1.3,16.17689272
26,79,55,28.5,5.5,12.4,1.5,4.2,4,8.2,0.499,2.9,3.3,0.8,4.7,2.2,1.1,0.4,1,1.8,15.3,17.3,0.552,0.337,0.266,3.1,18.1,10.4,11.9,1.9,1.2,6.8,22.5,3.3,2,5.3,0.113,1.2,0,1.2,1.8,16.16688582
27,77,22,21.6,3.8,6.3,0.5,1.6,3.3,4.7,0.637,2.5,3.3,1.8,3.5,1.5,0.6,0.6,0.9,2.6,10.6,20.4,0.682,0.261,0.523,9.1,17.3,13.2,10.7,1.3,2.6,10.1,17.2,5.6,1.9,7.5,0.215,2,0.9,2.9,2.1,16.14370248
25,73,73,34.8,5.8,14.1,2.2,6.3,3.5,7.8,0.492,2.7,3.2,0.7,2.9,4.1,1.1,0.5,1.5,2.7,16.6,14,0.536,0.448,0.225,2.3,8.8,5.5,17.9,1.5,1.2,9.1,20.9,3,2.6,5.6,0.106,0.1,0.2,0.3,1.5,16.12968582
25,60,3,18.8,3.2,6.7,1.1,2.8,2.1,3.8,0.568,1,1.3,0.3,2.1,1.5,0.7,0.2,1.1,1.6,8.6,13.3,0.596,0.425,0.188,1.6,11.5,6.7,11.6,1.7,1,13.1,19,1,1.4,2.4,0.102,-0.9,0.2,-0.7,0.4,16.12968582
31,76,76,28.2,4.1,8.7,1,2.6,3,6.1,0.527,2.1,2.5,0.5,2.6,6,1.4,0.1,1.6,1.8,11.2,16.7,0.574,0.294,0.288,1.9,9.9,6,29.9,2.5,0.4,14.4,17.7,3.9,2.9,6.8,0.153,0.8,1,1.8,2.1,16.11809565
27,80,54,27.1,3.2,6.6,0.8,2,2.4,4.6,0.545,1.6,2,1,2.5,5,1,0.2,1.5,2.2,8.9,14.1,0.59,0.306,0.302,4,10,7,24.6,1.8,0.5,16.7,14.1,3.8,0.9,4.7,0.104,-0.4,-0.3,-0.7,0.7,16.11809565
30,69,69,29.7,4.1,6.5,0,0,4.1,6.5,0.641,2.7,3.8,3.3,9.8,2.3,0.6,1.1,2.2,2.4,11,19,0.674,0,0.592,11.7,35.2,23.5,11.6,1,3,21.4,15,4,3.1,7.1,0.167,0.8,1.3,2.1,2.1,16.1061848
20,19,15,22.5,3.4,8.2,0.2,0.7,3.2,7.4,0.432,1.1,1.9,1.4,2.3,3.1,0.9,0.3,1.3,2.7,8.2,10.5,0.452,0.09,0.239,6.6,10.6,8.7,19.5,1.9,0.9,12.7,19.3,-0.1,0.4,0.3,0.035,-3.3,0.2,-3.1,-0.1,16.09228541
28,14,0,13.4,2.2,4.8,0.8,2.2,1.4,2.6,0.545,0.4,0.7,1.1,3.9,1,0.5,0.8,0.9,1.1,5.6,17.1,0.553,0.463,0.149,9.2,28,19.2,10.1,1.7,4.9,14.4,18.6,0.1,0.4,0.6,0.146,0.4,2.1,2.5,0.2,16.09097067
28,48,0,16.9,2,5,0.9,2.7,1.1,2.3,0.496,0.9,1.1,0.1,1.5,3.8,0.3,0,1.4,1.6,5.9,11.1,0.532,0.537,0.215,0.8,9.9,5.2,31.9,0.8,0.2,20.4,17.9,0.5,0,0.5,0.028,-1.7,-2.8,-4.4,-0.5,16.0780546
23,42,1,15.8,2.4,5.7,0.4,1.5,2,4.3,0.456,1.6,2,0.4,1.2,2.6,0.3,0.1,1.2,1.6,6.9,11.2,0.516,0.257,0.357,2.7,8.3,5.5,24.1,1,0.6,15.7,21.3,0.2,0.7,1,0.069,-2,-0.1,-2.1,0,16.07727366
20,71,70,30.7,7.2,12.3,0,0.1,7.2,12.2,0.585,2,2.7,3.1,7.1,1.8,0.9,0.9,1.8,2.9,16.3,20.5,0.608,0.005,0.217,11.1,26.1,18.5,9.6,1.3,2.6,11.7,21.2,4.1,1.7,5.8,0.128,1.3,-1.1,0.2,1.2,16.07340368
26,75,13,22.7,3.2,7.4,0.7,2.2,2.6,5.2,0.478,1.6,2,0.9,2.6,3.3,1.2,0.4,1,1.4,8.7,15.5,0.523,0.301,0.269,4.4,12.8,8.6,21.6,2.5,1.6,11,18.1,1.9,2.4,4.3,0.121,0.1,1.4,1.5,1.5,16.06402841
24,64,28,27.5,3.8,9.4,1.8,4.6,2.1,4.8,0.503,1.5,1.8,0.3,2.3,4.8,0.9,0.3,1.3,1.7,11,13.7,0.539,0.493,0.192,1.3,8.7,5.1,23.9,1.6,0.9,11.2,17.9,2.4,1.9,4.3,0.117,0.4,0.1,0.5,1.1,16.05047537
24,80,77,32.7,5.1,10.3,1.4,3.7,3.7,6.6,0.567,2,2.8,1.2,4,1,0.8,1.3,0.8,2.7,13.6,13.8,0.592,0.356,0.269,3.7,13.1,8.2,4.2,1.1,3.2,6.8,15.4,4,3.3,7.3,0.134,-0.4,0.6,0.2,1.5,16.05047537
28,81,81,28.3,3.2,7.3,1.2,3.5,2,3.9,0.514,1.9,2.1,1.4,6.1,1.3,0.8,0.4,0.9,1.8,9.4,13.2,0.568,0.472,0.292,5.3,22.6,14.2,6,1.4,1.2,9.7,13.7,3,2.8,5.8,0.121,0.1,0.6,0.7,1.5,16.0409986
22,68,23,22.9,2.7,6.6,0.6,1.9,2.1,4.7,0.46,0.9,1,0.3,1.6,4.8,1.2,0.1,0.7,1.1,6.9,13.7,0.491,0.283,0.155,1.6,7.7,4.6,28.3,2.5,0.3,9,14.1,2.1,0.9,3,0.091,-0.9,0.3,-0.6,0.6,16.0409986
32,60,13,21.7,2.8,6.3,0.8,2.6,2,3.7,0.516,1.2,1.4,0.7,1.8,2.3,0.9,0.1,0.9,1.7,7.6,12.1,0.554,0.407,0.226,3.2,8.3,5.9,14,1.9,0.5,11,15.1,1.5,1.3,2.8,0.103,-1.9,0.5,-1.4,0.2,16.02750409
25,43,40,29.8,3.5,6.4,0.2,0.8,3.3,5.6,0.56,0.9,1.5,1.1,4.7,3,1.3,0.9,1.3,2.6,8,12.8,0.569,0.123,0.232,4.1,18.1,11,15,2.1,2.7,16,12.6,0.8,1.8,2.7,0.1,-1.6,2.4,0.8,0.9,16.02081904
33,70,57,24.1,4.3,7.7,0.2,0.5,4.2,7.2,0.576,1.9,2.5,2.5,4.1,1.2,0.8,0.6,1,2.7,10.8,17.8,0.612,0.063,0.33,10.8,18.3,14.5,7.3,1.5,2,10.6,17.2,3.7,1.4,5.1,0.144,0.3,-0.4,-0.1,0.8,16.01273514
21,47,45,30.3,3.9,9.7,1.6,4.9,2.3,4.9,0.488,0.4,1,1.1,4.2,5.4,1.5,0.4,2.2,2.4,9.9,11.7,0.487,0.5,0.105,4,14,9.1,23.8,2.3,1.1,17.8,16.9,-0.2,1.7,1.6,0.052,-1.6,1.3,-0.3,0.6,15.98105181
29,53,36,27.6,4.8,10,1.4,3.3,3.4,6.7,0.553,0.8,1.1,0.7,1.7,1.9,0.8,0.2,1.1,2.1,11.9,11.5,0.567,0.331,0.111,2.5,6.4,4.5,9.5,1.3,0.4,9.6,17.3,1.2,0.5,1.7,0.055,-1.2,-1.1,-2.3,-0.1,15.97479417
19,62,4,25.3,5.7,11.4,0.5,1.5,5.3,9.8,0.525,2.9,4.2,2.6,5,1,0.5,1,1.6,1.9,14.9,18.9,0.562,0.136,0.371,10.4,20.8,15.5,5.9,1,3.2,10.7,24.2,2,1.6,3.6,0.11,0.5,-1.5,-1,0.4,15.96215737
26,70,17,27.8,5.2,12.3,1.9,5.3,3.2,7,0.496,1.9,2.3,0.6,2.9,3.8,1,0.2,1.7,2,14.1,14.1,0.53,0.431,0.188,2.1,11,6.4,19.3,1.7,0.7,11.1,22.3,1.3,1.4,2.7,0.067,-0.1,-0.6,-0.6,0.7,15.95902794
33,82,82,34.2,2.5,6.4,1.8,4.7,0.7,1.7,0.535,0.5,0.7,1.5,4.4,1.2,1.6,0.5,0.8,3.1,7.3,9.2,0.547,0.74,0.113,4.7,14.4,9.5,4.6,2.3,1.2,10.3,9.5,2,3,5,0.086,-1.6,1,-0.6,1,15.937657
31,53,1,16.2,2.1,5.9,1.3,3.8,0.8,2,0.468,0.9,1.1,0.2,1.5,0.7,0.5,0.3,0.6,1.5,6.4,9,0.504,0.653,0.186,1.7,10.3,6.1,6,1.5,1.5,8.2,18.6,-0.2,0.9,0.7,0.041,-2.4,-0.5,-2.9,-0.2,15.93577405
26,60,0,12.4,1.6,3,0,0.1,1.6,2.9,0.531,0.8,1.2,1.3,2.3,0.6,0.2,0.1,0.6,1.2,4,13.4,0.568,0.022,0.408,11.4,20.5,15.9,7.2,0.7,0.8,13.5,14.3,0.9,0.4,1.4,0.088,-2,-2.1,-4.1,-0.4,15.91432571
22,79,79,34.2,6.8,12.2,0,0.1,6.8,12.1,0.563,3.3,5.4,2.2,6.6,7.7,1.4,0.8,3.5,2.6,16.9,20,0.582,0.006,0.446,6.9,20,13.7,34.2,2,1.8,19.3,22.1,4.6,3.6,8.2,0.146,2.2,1.3,3.6,3.8,15.9090929
25,82,23,24.8,4,9.2,1.8,5.3,2.1,3.9,0.53,1.7,1.9,0.6,2.3,1.3,0.9,0.2,0.8,1.7,11.4,12.9,0.568,0.575,0.209,2.5,9.4,6,7.5,1.7,0.5,7.3,18.1,2.3,1.8,4,0.095,-0.3,-0.1,-0.5,0.8,15.90605053
24,42,42,29.8,4.3,9.8,0.8,2.5,3.5,7.3,0.475,1.3,1.8,1.2,4.1,7.6,1,0.4,2.7,1.9,10.6,14,0.502,0.255,0.18,4.1,14,9.1,33.5,1.6,1.1,20.1,18.3,0.6,0.9,1.5,0.058,-0.7,-0.7,-1.4,0.2,15.8949521
32,75,1,26.6,6.5,15.2,1.4,3.9,5.1,11.3,0.471,5.7,6.5,0.5,2.4,5.4,0.8,0.1,2.4,1.1,20,21.2,0.554,0.256,0.426,2.2,9.4,5.9,33,1.3,0.4,11.8,32.4,3.9,1.2,5.1,0.123,4.3,-2.1,2.2,2.1,15.8949521
27,71,18,21.2,2.5,5.4,1.1,3.1,1.4,2.4,0.553,0.8,1,1.3,3.4,1,0.5,1.1,0.8,2,6.8,13.1,0.579,0.565,0.192,6.5,16.9,11.7,6.8,1.2,4.4,11.4,13.5,1.6,1.8,3.5,0.111,-0.8,1.2,0.4,0.9,15.8949521
21,72,53,20.8,4.3,7,0.5,1.4,3.8,5.6,0.648,1.5,1.9,1.6,4.7,1.3,0.3,0.9,0.8,1.8,10.5,21,0.674,0.197,0.273,8.1,25.1,16.5,9.3,0.8,3.8,9.6,17.6,4.3,1.3,5.6,0.178,2.3,-0.3,2,1.5,15.8949521
31,53,38,24.5,3.5,8.6,2.6,7,0.9,1.6,0.554,0.7,0.9,0.3,1.8,1.4,1,0.1,0.8,1.7,10.3,11.8,0.569,0.814,0.107,1.1,7.9,4.5,8.3,2,0.4,7.7,17.2,1.3,1.4,2.6,0.097,-0.3,0.3,0,0.7,15.8949521
20,79,79,31.1,5.9,13.1,1.5,3.9,4.4,9.2,0.506,2.5,2.9,0.9,5.2,2.1,1.1,0.7,1.5,2.1,15.7,15.1,0.547,0.3,0.22,3,17.7,10.4,10,1.6,2.1,9.7,22.1,1.6,3.4,5,0.097,-0.4,0.2,-0.2,1.1,15.87347307
28,80,11,27.1,4,10,2.2,6.5,1.8,3.4,0.508,1.8,2.5,0.8,4.1,1.7,0.8,0.4,1.1,2.1,11.9,12.1,0.538,0.655,0.247,3.1,15.9,9.6,8.9,1.4,1.1,8.8,19.1,1.3,3.1,4.4,0.097,-0.3,0.6,0.3,1.2,15.87162372
19,72,72,32.2,7,16.5,2.3,7.1,4.7,9.3,0.497,4.8,6.7,1.2,6.6,6,1.1,0.3,3.4,1.9,21.2,19.6,0.545,0.433,0.409,4,21.9,13,31.6,1.6,0.9,15,30.5,2.1,2.8,4.9,0.101,3.6,0.3,3.9,3.4,15.85456751
27,76,76,30.2,4.9,9.8,2.4,5.1,2.5,4.8,0.622,1.4,1.8,0.7,3.1,2.4,0.5,0.2,1.6,2.4,13.7,13.5,0.645,0.516,0.178,2.4,10.9,6.7,11.9,0.8,0.6,13,17,3.8,1.7,5.5,0.116,0.8,-0.3,0.5,1.4,15.85239253
28,74,2,18.9,2.9,6.3,1.5,3.4,1.3,2.9,0.577,0.6,0.7,0.4,1.3,0.9,0.5,0.2,0.8,1.3,7.9,11.4,0.595,0.54,0.112,2.1,6.9,4.6,6.5,1.2,0.7,11.1,16.6,1.5,0.9,2.4,0.082,-0.4,-0.7,-1,0.3,15.82525094
27,77,1,17.4,2.7,5.5,1.1,2.7,1.6,2.8,0.59,0.9,1,0.2,1.2,0.9,0.2,0.1,0.5,1.4,7.3,11.6,0.617,0.488,0.187,1.4,7.5,4.5,7.1,0.7,0.5,8.4,16.3,1.8,1.1,2.9,0.103,-0.5,-0.9,-1.4,0.2,15.80794068
27,80,4,21.8,2.9,7.3,1.7,4.8,1.2,2.6,0.503,1,1.2,0.6,1.5,1.1,0.5,0.1,0.3,1.7,8.4,10.7,0.534,0.647,0.164,3,7.9,5.4,7.3,1,0.4,3.7,16.1,2.1,1.3,3.4,0.094,-0.9,-0.6,-1.5,0.2,15.80794068
30,51,13,27.3,7.1,14.8,1.1,2.9,6.1,11.9,0.518,2.7,3.1,0.6,2.1,4.3,0.6,0.2,1.6,1.1,18,19.5,0.557,0.194,0.212,2.5,8.3,5.4,26.4,1.1,0.7,9.1,27.3,2.6,0.3,3,0.102,3.2,-1.7,1.4,1.2,15.80572094
21,52,52,33.8,7,14,0.6,1.8,6.4,12.2,0.518,3.8,5.6,0.8,4.3,3,0.5,0.6,2.5,2.9,18.3,13.4,0.555,0.129,0.396,2.5,13,7.8,12.9,0.7,1.4,13.1,23.2,0.6,1.4,2,0.055,-1.3,-0.7,-2,0,15.79864561
31,81,81,28,3.9,8.4,1.6,3.8,2.3,4.5,0.566,2.2,2.6,0.5,2,5.3,0.6,0,1.6,1.4,11.7,15.7,0.616,0.459,0.309,1.9,7.8,4.8,26.9,1.1,0.1,14.3,17.2,5,1.9,6.9,0.146,1.1,-0.7,0.5,1.4,15.79651203
30,46,17,17,1.7,4.3,0.5,1.7,1.2,2.6,0.452,0.6,0.8,0.5,2.1,0.6,0.4,0.2,0.5,1.8,4.5,6.4,0.482,0.401,0.183,2.7,13.1,7.8,5,1,0.8,10.1,12.9,-0.3,0.3,0.1,0.004,-4.8,-0.9,-5.7,-0.7,15.77836912
21,79,29,25.2,4.4,10.6,0.9,2.8,3.5,7.8,0.456,1.8,2.7,0.8,3.6,2.3,0.9,0.7,2.2,2.6,11.5,10.6,0.487,0.268,0.253,3.6,15.9,9.7,14.1,1.8,2.3,15.6,23.9,-2.8,1.1,-1.7,-0.04,-3.3,-1.2,-4.6,-1.3,15.76988195
28,69,15,25.5,2.7,7,1.9,5.3,0.8,1.7,0.528,0.8,1,0.2,1.7,2.1,0.6,0.3,0.9,2.4,8.2,8.4,0.55,0.752,0.147,0.8,6.6,3.8,10.4,1.1,1.1,10.3,13.4,1.1,0.6,1.6,0.045,-2.1,-0.8,-2.9,-0.4,15.76142071
26,76,12,21.5,2.7,6,1.9,4.4,0.8,1.5,0.61,0.7,0.8,0.3,3.2,1.3,0.5,0.4,0.6,1.8,8,13,0.632,0.746,0.132,1.6,16,8.8,8.2,1,1.7,8.2,14.1,2.6,1.5,4,0.118,1.1,0.2,1.3,1.4,15.76142071
31,67,7,18.4,2.5,5.7,0.9,2.4,1.6,3.3,0.514,0.9,1.1,1.4,3.1,0.8,0.5,0.3,0.7,2.6,6.8,11.6,0.548,0.42,0.194,8.2,16.2,12.5,5.5,1.2,1.4,10.4,15.7,1.2,1.9,3,0.119,-2.4,0.1,-2.3,-0.1,15.76142071
19,58,56,26.1,5.1,10.2,0.9,2.4,4.3,7.7,0.549,2.6,3.4,1.3,3.4,1.1,0.9,1.4,1.7,3.8,13.8,16.4,0.591,0.241,0.334,5.3,15,10.1,7.2,1.7,5.1,12.7,22.8,1.2,2.2,3.3,0.105,-1.2,1,-0.3,0.7,15.75100667
30,77,70,23.2,3.7,7.7,1.3,3.3,2.4,4.4,0.566,0.9,1.2,1.6,4.1,1.9,0.7,0.7,1.1,2.6,9.6,15.4,0.585,0.433,0.155,7,18.8,12.8,11.1,1.4,2.7,11.5,16.5,2.7,1.9,4.5,0.122,0.4,0.5,0.9,1.3,15.7361029
22,74,25,25.9,5,10.7,1.3,3.7,3.7,7,0.525,1.8,2.7,0.9,3.4,1.4,0.9,0.4,1.3,2.5,13,13.5,0.547,0.348,0.255,3.6,13.9,8.7,7.7,1.7,1.5,10.1,22.1,0.7,2.4,3,0.076,-1.6,-0.4,-2.1,0,15.69265674
23,64,17,26.9,5.8,11.7,1,3,4.8,8.7,0.533,2,2.9,1.2,5.3,2.4,0.7,0.5,2.4,2.3,14.5,15.5,0.56,0.26,0.246,4.9,21.8,13.3,14.1,1.3,1.5,15.4,24.6,0.1,1.3,1.4,0.039,-0.7,-0.9,-1.5,0.2,15.68731273
