v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,salary
21,59,37,17.6,3.6,6.4,0,0,3.6,6.4,0.559,1.7,2.1,1.9,4.2,1.1,0.2,0.9,1.2,2.3,8.9,18.9,0.604,0,0.332,11.9,24.2,18.2,9.1,0.6,4,13.9,20.3,1.9,1.3,3.2,0.148,-0.2,-0.2,-0.5,0.4,15.68445975
21,81,81,31.4,6.2,13.6,1.1,2.9,5.2,10.7,0.497,3.7,5.1,0.5,3.2,7.3,1.6,0.6,2.8,2.5,17.3,18.1,0.544,0.211,0.378,1.7,10.8,6.2,33.2,2.4,1.5,15,24.5,3.2,2.5,5.6,0.106,1.3,0.2,1.5,2.3,15.67067666
31,15,0,10,1.1,2.7,0.7,1.8,0.5,0.9,0.55,0.3,0.5,0.2,0.9,2.1,0.2,0.1,1.4,1.8,3.2,6.5,0.557,0.675,0.175,2.2,8.9,5.7,28.8,0.9,0.5,32.8,18,-0.1,0.1,-0.1,-0.019,-3.8,-1.7,-5.4,-0.1,15.65606019
20,81,81,30.9,6.5,15.5,1.9,6,4.6,9.6,0.48,4.2,5.1,0.8,2.9,8.1,0.9,0.2,3.8,1.7,19.1,17,0.539,0.384,0.33,2.6,10.2,6.3,40.5,1.3,0.5,17.6,28.4,2.5,0.7,3.3,0.062,2.3,-2.8,-0.6,0.9,15.65176527
31,38,13,14.1,1.2,3.4,0.7,2,0.5,1.4,0.449,0.3,0.5,0.3,1.6,0.6,0.4,0.3,0.5,1.7,3.4,5.5,0.469,0.594,0.148,2.4,11.7,7.1,5.3,1.2,1.9,11.7,12,-0.3,0.3,0,0.001,-4.3,-0.5,-4.8,-0.4,15.62944239
30,56,0,22.3,3.7,8.7,0.8,2.4,2.9,6.3,0.464,0.8,1.1,0.4,2.2,3.6,0.5,0.2,1.1,1.9,8.9,11.8,0.485,0.276,0.127,1.9,11.1,6.3,25.4,1.1,0.7,10.6,19.9,0.5,1.1,1.7,0.064,-1.6,-0.3,-2,0,15.60727003
25,82,5,26.3,6.7,10.8,0,0.2,6.6,10.6,0.617,3.2,5,2.2,4.3,2,0.9,1.3,1.6,3.1,16.6,23.4,0.636,0.019,0.466,9.3,16.7,13.1,12.5,1.6,4,11,23.5,6.1,2.6,8.7,0.193,2.6,0.7,3.3,2.9,15.60727003
32,79,1,23,3.6,8.7,1.9,5,1.7,3.7,0.52,1.4,1.6,0.2,2.3,1.7,0.4,0.1,0.9,1.5,10.5,11.9,0.557,0.572,0.18,1,10.8,5.9,10.1,0.9,0.4,8.8,19.8,1.4,1.1,2.5,0.065,-0.5,-1.2,-1.7,0.1,15.58129457
21,75,64,26.6,3.5,8.1,1.1,3.5,2.3,4.6,0.499,1.5,1.8,1.3,4.2,1.1,0.8,1.3,1,1.9,9.6,13,0.537,0.435,0.221,5.2,17,11,5.7,1.4,4.1,10.1,16.3,0.9,3.1,4,0.096,-1.4,1,-0.4,0.8,15.5744782
26,72,49,26.3,4.1,9.3,1.2,3.3,2.9,6,0.498,1.9,2.2,0.3,1.8,1.8,0.8,0.2,0.8,2,11.2,12.3,0.545,0.352,0.231,1.4,7.9,4.6,10,1.5,0.5,6.9,18.1,2.1,0.5,2.6,0.065,-1.2,-0.8,-2,0,15.55912965
29,56,9,19,2.4,6.3,0.5,1.9,1.9,4.4,0.42,1.3,1.7,0.5,1.8,2.3,0.5,0.3,1.2,1.6,6.5,8.5,0.466,0.297,0.277,2.7,10,6.3,16.7,1.3,1.2,14.8,18.7,-0.8,1.1,0.3,0.013,-3.9,-0.3,-4.2,-0.6,15.55597673
20,47,1,16.3,2.5,5.2,0.4,1.5,2,3.7,0.525,0.8,1.3,1.4,3.6,0.8,0.3,1.4,0.9,2.2,6.2,14.9,0.539,0.288,0.259,8.8,24,16.3,7.4,0.8,7,13.7,17.8,0.3,1.4,1.7,0.106,-2.8,1.4,-1.4,0.1,15.55555559
23,64,2,17.5,3.2,7.7,0.8,3.1,2.4,4.6,0.47,1.3,1.8,0.7,3.2,1.4,0.5,0.4,1.1,1.5,8.5,12.7,0.5,0.404,0.234,4.2,19.6,11.9,11.3,1.3,1.8,11.1,23.4,-0.2,1.4,1.2,0.05,-1.8,-0.7,-2.4,-0.1,15.52025865
25,31,2,19,1.8,5.1,1.3,4.1,0.5,1,0.487,0.4,0.4,0.2,1.4,0.6,0.5,0.2,0.5,1.7,5.3,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-3.7,0.4,-3.3,-0.2,15.51208644
32,51,18,16.1,2.1,4.4,0.4,1.2,1.6,3.2,0.518,1,1.2,1.7,3,1.1,0.2,0.7,0.8,2.5,5.6,14,0.567,0.274,0.278,11.4,19.8,15.6,9.3,0.7,3.7,13.8,15.2,1.3,1.1,2.4,0.139,-1.8,0.3,-1.5,0.1,15.51172782
32,20,1,9.5,1.1,3,0.5,1.3,0.6,1.7,0.432,0.7,0.8,0.8,1.8,0.7,0.2,0.4,0.7,1.5,3.3,9.8,0.492,0.441,0.271,9,20.2,14.6,9.7,0.7,3.1,16.4,17.5,0,0.2,0.2,0.038,-3.7,-1,-4.7,-0.1,15.51112617
24,46,44,30.2,4.7,11,0.7,2.1,3.9,8.9,0.458,1.2,1.5,0.4,3.7,6,1.5,0.5,2.3,3.6,11.3,12.4,0.484,0.19,0.136,1.5,13.3,7.3,30,2.4,1.3,16.2,20.1,-0.5,1.2,0.6,0.022,-2.8,0.2,-2.7,-0.2,15.49223453
21,52,51,32.3,6.6,15.3,2.3,6.4,4.3,8.9,0.506,3.3,3.8,1.4,7.6,1.4,0.7,0.6,1.6,2.3,18.7,17.1,0.553,0.418,0.245,4.7,25.9,15.2,7.2,1.1,1.7,8.8,25.1,1.3,1.5,2.7,0.078,1.4,-1.5,-0.2,0.7,15.48329285
19,44,44,25.2,4.1,8.4,0.1,0.7,4,7.7,0.493,2,2.5,2,5,1.8,0.6,1.3,1.5,3.5,10.3,15.2,0.541,0.086,0.302,8.4,21.8,15,10.7,1.1,4.5,13.4,19.1,0.7,1.2,1.9,0.08,-2.2,0.6,-1.6,0.1,15.46443838
26,66,2,13.8,2.2,4,0.4,1,1.8,3,0.598,0.8,1.2,1.3,2.1,1,0.3,0.6,0.5,2.4,5.7,17,0.624,0.252,0.286,10.2,16.2,13.2,10.5,1.1,4.1,9.9,15.8,2.3,1.3,3.5,0.188,-0.8,0.9,0,0.5,15.42494847
40,51,20,15.6,2.6,7.4,1.3,4,1.4,3.4,0.444,0.8,1,0.1,3,0.7,0.2,0.4,0.4,1.5,7.3,9.6,0.469,0.545,0.133,0.7,20.5,10.6,6.9,0.5,1.9,4.3,22.5,-0.5,0.8,0.3,0.016,-2.7,-1.2,-3.9,-0.4,15.42494847
26,82,82,31.9,7.6,16.6,3.4,7.9,4.2,8.6,0.56,2.1,2.4,1.3,3.7,2.5,0.7,0.4,1.8,2.5,20.7,17.5,0.587,0.479,0.142,4.1,12.4,8.1,11.9,1,1.1,9.2,25.1,4.3,1.6,5.9,0.108,3.5,-1.4,2.1,2.7,15.39679752
20,43,16,21,2.2,6.6,0.8,2.7,1.4,3.9,0.395,0.5,0.7,0.3,1.7,2.8,0.7,0.3,1.3,2.4,5.7,6,0.417,0.408,0.106,1.4,8.9,5,19.5,1.6,1.3,15.9,16.6,-1.3,0.4,-0.8,-0.045,-5.2,-0.8,-6,-0.9,15.39568442
27,66,45,23.5,2.8,7,1.2,3.4,1.6,3.6,0.489,0.8,1.1,0.9,2.7,1.7,0.5,0.2,1,1.7,7.6,9.4,0.51,0.488,0.156,4.1,12.2,8.2,10.3,1.1,0.7,11.5,15.4,0.4,1.6,1.9,0.059,-2.2,-0.1,-2.3,-0.1,15.3857279
28,63,63,30.2,3.9,9.7,1.4,3.9,2.6,5.8,0.479,0.7,0.8,0.7,2.1,2.4,0.7,0.3,1.4,2.7,9.9,7.6,0.496,0.403,0.082,2.5,7.3,4.9,11.8,1,0.7,12.4,16.2,-0.6,1,0.3,0.009,-2.8,-0.9,-3.7,-0.8,15.37722773
29,81,1,17.9,2.3,3.7,0,0,2.3,3.7,0.616,1.2,2,2.7,5.9,0.8,0.4,0.4,0.8,2.8,5.8,17.3,0.632,0.007,0.536,15.8,34.6,25.2,6,1.2,1.8,14.6,12.7,3.3,2.5,5.7,0.191,-0.6,0.7,0,0.7,15.37722773
26,67,31,24.5,5.6,10.2,0.1,0.5,5.4,9.7,0.556,2.3,2.9,3.8,6,1.7,0.5,0.4,1.8,2.5,13.7,22.3,0.594,0.05,0.288,16.4,26.1,21.1,12.1,0.9,1.3,13.3,23.1,3.9,1.6,5.4,0.159,2.5,-1.5,1,1.2,15.37722773
25,47,0,16.1,2.9,6.3,1.1,3,1.9,3.4,0.547,1.7,2.3,0.8,2.6,1.3,0.3,0.3,0.9,1.4,8.6,16.8,0.587,0.466,0.359,5.5,18.1,11.7,12.9,0.8,1.4,10.6,22.1,1.3,0.5,1.8,0.114,1.4,-1.1,0.3,0.4,15.37722773
32,75,55,27.2,2.8,6.6,1.2,3.5,1.6,3.1,0.513,1.1,1.4,0.4,2.5,1.4,1,0.4,0.9,2.7,7.8,8.5,0.543,0.535,0.217,1.5,10.2,5.8,7.4,1.8,1.4,11.5,13.2,0.3,2,2.2,0.052,-3.3,0.5,-2.8,-0.4,15.37722773
28,65,6,21.1,3.5,7.3,1.1,2.7,2.4,4.6,0.558,1.2,1.6,1.6,4.7,0.8,0.7,0.5,1.3,3,9.4,14.7,0.587,0.37,0.212,8.3,24.3,16.4,5.8,1.6,2.3,14.3,19.4,0.9,1.9,2.9,0.101,-1.3,-0.4,-1.7,0.1,15.37722773
29,82,77,31.8,3.7,9.5,2,5.7,1.7,3.8,0.49,1.2,1.3,0.6,3.4,1.8,1.5,0.4,1.3,2,10.5,10,0.52,0.598,0.136,1.9,11.9,6.8,8.1,2.3,1.2,11.2,15.7,-0.4,2.5,2.1,0.038,-2.3,0.5,-1.8,0.1,15.37722773
30,79,3,17.7,2.1,5.3,1.3,3.2,0.8,2.1,0.52,0.3,0.4,0.5,2.9,0.8,0.3,0.2,0.6,2,5.8,8.6,0.528,0.6,0.079,3.4,17.2,10.5,6.4,0.9,0.7,9.2,14.4,0.4,1.2,1.6,0.053,-1.9,-0.7,-2.5,-0.2,15.37722773
25,70,4,16.9,3.2,5.2,0,0,3.2,5.2,0.608,1.8,2.5,1.6,3.1,0.9,0.6,1.1,0.7,2.8,8.2,20.7,0.647,0,0.479,10.6,20.5,15.5,7.9,1.7,5.6,10.5,17.9,3.1,1.1,4.3,0.173,0.1,0.5,0.6,0.8,15.37722773
30,74,36,21.7,4.1,7.2,0.1,0.4,4,6.8,0.575,1.2,1.7,1.9,2,1.2,0.1,1.1,1.3,1.7,9.5,15.9,0.598,0.058,0.23,9.4,10,9.7,8.8,0.3,4.2,14,18.6,2,0.7,2.7,0.081,-0.6,-1.4,-1.9,0,15.37722773
20,82,72,31.8,6.3,14.7,1.5,3.6,4.9,11.1,0.48,2.6,3.1,0.7,2.2,3,0.5,0.1,2.3,2.3,16.7,12,0.52,0.245,0.211,2.3,8,5,15.3,0.8,0.2,12.3,25.2,-0.1,-0.5,-0.6,-0.011,-1.4,-3.3,-4.7,-1.8,15.3767997
22,80,24,18.5,2.7,4.3,0,0.1,2.7,4.2,0.627,0.8,1.3,2.4,2.8,1.5,0.6,0.7,0.6,2.6,6.3,17.3,0.636,0.029,0.303,14.6,15.4,15,10.9,1.5,3,11.5,12.8,4.2,1.8,6,0.194,0.1,0.4,0.5,0.9,15.31160641
21,53,50,28.5,5.2,12.3,1.3,3.9,4,8.3,0.479,1.9,2.9,0.6,2.3,4.8,1.3,0.4,2.9,2.4,13.6,12.3,0.502,0.32,0.24,2.2,8.7,5.5,27.3,2.1,1.1,17.6,24.8,-1.2,1.2,0,0.001,-1.6,-0.4,-1.9,0,15.31147513
21,75,74,32.6,6.8,15.6,2,5.5,4.8,10.1,0.502,2.5,3,0.9,3.4,4.8,0.9,0.4,2.1,2,18.2,16,0.538,0.353,0.19,2.9,11.2,7,22.4,1.3,1,11.1,24.9,2.8,2.3,5.1,0.1,1.4,-0.8,0.6,1.6,15.30723328
19,75,57,28.8,4.5,12.2,1.7,4.9,2.8,7.3,0.438,2.2,3,0.8,3.7,1.1,0.6,0.3,1.5,2.3,12.8,8.7,0.475,0.398,0.247,2.9,13.6,8.1,6,1,0.9,10.1,22.3,-2.2,0.9,-1.3,-0.03,-3.4,-2.3,-5.7,-2,15.29258668
32,4,0,15.3,2,4.5,0.5,1.5,1.5,3,0.5,0.5,1.3,0.5,1.3,0.5,0.3,0.3,0.5,2,5,6.7,0.495,0.333,0.278,3.6,8.4,6.1,4.5,0.8,1.3,9,15.4,0,0,0,0.009,-2.9,0,-3,0,15.27888169
21,77,0,17.6,2.5,5.2,0.5,1.6,1.9,3.6,0.523,1.2,1.6,1.4,2.8,0.9,0.3,0.9,1,2.3,6.6,13.5,0.562,0.303,0.315,8.8,16.5,12.7,7.1,0.9,3.9,14.5,16.6,1.4,1.5,2.9,0.104,-1.5,0.3,-1.2,0.3,15.260121
22,82,56,29.5,3,6.9,1.3,3.8,1.7,3,0.523,1.2,1.4,0.7,2.5,2.1,1.6,0.5,0.9,2.5,8.3,10.8,0.556,0.556,0.21,2.5,9.7,6,9.8,2.5,1.3,10.2,12.2,1.7,1.2,2.9,0.058,-2,0.4,-1.6,0.3,15.24126599
25,77,31,20.1,4.2,8.4,1,2.6,3.2,5.8,0.551,1.8,2.8,2.1,3.5,1.1,0.4,0.9,1.3,2.6,11.1,17.2,0.575,0.315,0.333,10.5,18.5,14.4,8.6,0.8,3.9,11.5,22.1,2.2,1,3.2,0.1,0,-1.3,-1.2,0.3,15.24102563
20,73,0,17.2,3.1,8,1.5,4.5,1.6,3.5,0.48,1.2,1.4,0.2,1.7,1.6,0.5,0.3,1.2,1.5,8.9,11.8,0.518,0.563,0.174,1.3,10.6,5.9,14.3,1.4,1.3,12,24.6,-0.4,0.7,0.3,0.012,-1.3,-1.7,-3,-0.3,15.20887983
25,81,26,24.5,2.8,6.5,1,3.1,1.8,3.4,0.507,0.9,1.3,1.7,3.1,1.2,0.9,0.4,0.9,2.3,7.5,11,0.53,0.481,0.195,7.5,13.4,10.5,6.9,1.7,1.5,11.4,14,1.2,2,3.3,0.079,-1.8,0.4,-1.4,0.3,15.20180492
31,75,62,22.3,5.3,8.5,0,0.2,5.3,8.4,0.625,1.3,2,2.6,4.9,0.7,0.6,2,1.4,2.8,12,21.8,0.634,0.019,0.237,12.3,22.5,17.5,4.8,1.3,7.3,13.2,20.2,3,2.9,5.9,0.171,0.3,1.2,1.4,1.4,15.20180492
23,29,1,13.7,0.9,2.2,0.3,1,0.6,1.2,0.484,0.4,0.5,0.2,1.4,1,0.8,0.1,0.6,1.3,2.6,7.5,0.532,0.444,0.238,2,10.9,6.5,9.2,2.8,0.4,19.6,9.4,0,0.5,0.5,0.065,-4.8,1.9,-3,-0.1,15.20180492
27,63,60,29.8,3.9,9.4,2.3,6.2,1.5,3.2,0.537,1.2,1.3,0.3,2.4,2,0.6,0.2,1,1.7,11.3,10.5,0.563,0.662,0.143,1.2,8.8,4.9,10.1,1,0.5,9.3,15.8,1.6,1.4,3.1,0.078,-0.7,-0.4,-1.1,0.4,15.20180492
20,82,73,26.5,4.2,8.7,0.6,1.7,3.5,7,0.512,1.9,2.4,0.7,2.1,3.3,1.2,0.5,1.7,2.1,10.8,13.4,0.554,0.194,0.272,2.9,8.3,5.7,17.8,2.1,1.6,15,18.3,1.5,1.9,3.3,0.074,-0.9,0.4,-0.5,0.8,15.1899651
22,63,10,22.8,3.6,8.3,1.7,4.3,1.9,4,0.54,0.8,1,0.2,2.7,1.8,0.4,0.2,0.9,1.5,9.7,11.9,0.56,0.517,0.117,0.9,13.5,7,12.3,0.9,0.6,9.4,18.1,1.3,1.3,2.5,0.085,-0.4,-0.6,-1.1,0.3,15.15763357
20,80,25,21.2,3,6.4,0.8,2.5,2.2,3.9,0.527,0.7,1,0.8,3.2,1.2,0.7,0.6,0.6,1.4,7.5,13.1,0.548,0.391,0.151,4.2,16.6,10.3,8.1,1.6,2.5,8.4,15.1,1.4,1.5,2.9,0.083,-0.9,0.1,-0.8,0.5,15.13870536
23,77,24,16.5,2.4,3.8,0,0,2.4,3.8,0.645,0.6,1.2,2.3,3,1.2,0.4,0.9,0.6,1.6,5.5,19.4,0.64,0,0.317,15.4,19.7,17.6,10,1.1,4.5,12.7,13.1,3.5,1.6,5.1,0.193,1.3,0.7,2,1.3,15.13856848
22,77,77,33.7,8.6,19.9,2.4,6.7,6.1,13.1,0.493,4.1,5.1,0.8,3.3,4.2,1.4,0.4,2.8,2.7,23.8,17.2,0.537,0.339,0.259,2.5,10.5,6.6,21.2,2,0.9,11.3,31.6,1.3,3.7,5,0.092,1.2,0.1,1.3,2.2,15.10632873
22,66,7,18.3,2.6,6.7,0.9,3.3,1.7,3.4,0.459,0.8,1,0.5,2.8,1.3,0.9,0.2,1.2,1.7,6.9,9.6,0.485,0.489,0.145,3,16.9,9.7,10.6,2.4,1,14.7,19.4,-1.1,1.6,0.5,0.021,-3.1,0.9,-2.2,0,15.10281297
24,71,33,18.7,3,6,0.8,2.5,2.2,3.4,0.579,0.7,1,0.8,2.3,0.7,0.4,0.4,0.6,1.6,7.6,13.5,0.594,0.427,0.167,4.6,12.6,8.7,5.6,1.1,1.8,9.2,15.9,1.9,1.2,3.1,0.111,-0.1,-0.3,-0.5,0.5,15.09142795
21,64,5,15.2,1.7,4.2,0.8,2.4,0.9,1.8,0.498,0.9,1.3,0.6,2.5,0.7,0.3,0.8,0.5,1.6,5,11.3,0.53,0.571,0.313,4.5,17.4,11,6.3,1,4.4,9.8,14.8,0.5,1.5,2,0.099,-2.2,1,-1.2,0.2,15.08797615
21,33,0,9.7,1.3,3.3,0.5,1.7,0.8,1.6,0.482,0.2,0.3,0.1,1.2,0.6,0.3,0.1,0.4,1.4,3.4,7.2,0.491,0.518,0.082,1,12.2,6.8,8.3,1.6,0.7,10.2,16.7,-0.2,0.3,0.1,0.012,-4.2,-0.5,-4.7,-0.2,15.08743729
23,64,3,22.8,3.6,8.1,0.8,2.1,2.8,6,0.498,2.8,3.5,0.5,2.6,1.9,0.4,0.2,1.8,1.8,10.9,12.2,0.564,0.255,0.431,2.2,12.2,7.1,12.9,0.9,0.8,15.8,21.5,0.4,0.5,0.9,0.03,-1.6,-1.5,-3.1,-0.4,15.08273981
25,39,13,25.1,3,6.5,1.9,4.6,1.1,1.9,0.615,1.4,1.8,0.6,2.9,1,0.5,0.3,0.9,2.1,9.4,12.2,0.646,0.706,0.282,2.8,13.3,7.9,5.9,1.1,1,11,14.1,1.6,0.7,2.3,0.113,0.1,-0.5,-0.5,0.4,15.07963729
22,74,5,24.8,5.6,9.5,0.1,0.2,5.5,9.2,0.596,2.8,3.9,2.5,6.8,2.9,0.6,0.4,2.2,3.2,14.1,21.9,0.63,0.024,0.416,11.5,29.8,20.8,18.2,1.3,1.5,16.2,23.5,4.3,3.3,7.6,0.197,1.9,1.3,3.1,2.4,15.07668236
30,58,12,11.7,2.8,4.5,0.1,0.2,2.7,4.3,0.623,1.7,2.3,1.5,3.1,0.9,0.3,0.5,1,1.6,7.3,24.2,0.664,0.038,0.504,14,26.9,20.6,12.8,1.1,3.1,15.7,23.3,2.1,0.9,3,0.212,2.8,0.3,3.2,0.9,15.06827353
28,30,30,25.7,5.9,12.4,0.9,3.2,5.1,9.2,0.515,3.5,4.8,1.4,6.8,3.6,1.3,1.5,2.4,3.6,16.3,21.4,0.562,0.256,0.388,6.2,27,17.1,20.4,2.5,4.8,14.2,28.1,0.9,1.5,2.4,0.151,0.4,2.6,3,1,15.06827353
30,26,2,10.7,2.9,5.9,0.1,0.7,2.8,5.2,0.5,1.1,1.5,0.5,1.8,1,0.3,0.4,1,1.6,7,15.9,0.532,0.111,0.255,4.9,17.2,11.2,14.8,1.5,3,13.7,29.5,-0.1,0.4,0.2,0.039,-1.9,0.5,-1.5,0,15.06827353
26,76,3,19.3,2.9,5.5,0.2,0.6,2.7,5,0.542,0.4,0.5,0.4,1.9,3.4,1,0.2,1.2,1.4,6.4,13.4,0.555,0.1,0.088,2.1,10.2,6.3,24.7,2.5,0.9,17.3,15,1.2,1.7,2.9,0.094,-1.8,0.9,-0.9,0.4,15.06827353
24,81,41,25,3.8,8.6,1.5,4,2.3,4.6,0.522,1.6,1.9,1.6,4.1,1.6,0.6,0.1,1.2,2.2,10.6,13.1,0.563,0.464,0.216,6.6,17.5,12.1,8.8,1.1,0.4,11.3,17.8,2.3,1.2,3.5,0.084,-0.3,-1.3,-1.6,0.2,15.06311338
24,55,47,28.2,4.8,10.8,2.2,5.7,2.5,5.1,0.545,1.7,2.1,0.4,3.2,2.1,1,0.3,1.8,2.6,13.5,11.9,0.575,0.53,0.195,1.5,12.3,6.7,11.1,1.6,1.1,13.4,19.5,0.8,0.7,1.5,0.047,-1,-1,-2,0,15.06311338
21,82,28,23.3,3.4,5.9,0,0.2,3.4,5.7,0.579,2,2.8,2,5.3,2.2,0.9,0.8,1.5,2.5,8.9,17.9,0.623,0.031,0.465,9.2,24,16.6,14.2,1.8,3,17.1,15.8,3.4,3.4,6.8,0.171,-0.4,2.2,1.8,1.8,15.0550667
23,70,25,19.4,2,4.5,0.9,2.6,1,1.9,0.545,0.9,1.2,0.9,2.9,0.8,0.4,0.3,0.5,1.3,5.8,11,0.58,0.576,0.274,5.1,16.1,10.6,5.3,1,1.6,9.5,12.2,1.6,1.4,3,0.105,-0.9,-0.2,-1.1,0.3,15.01578553
23,81,14,19.9,2.7,6,1.1,3,1.6,3,0.537,0.8,1,0.5,2.1,1.2,0.4,0.2,0.4,1.2,7.2,11.3,0.561,0.505,0.163,2.8,11,6.9,8.1,0.9,0.7,5.3,14.3,2,0.9,2.9,0.086,-0.8,-0.8,-1.6,0.2,15.00363443
19,52,10,14,1.9,4.5,0.4,1.3,1.4,3.2,0.462,0.6,0.9,0.7,2.1,1.5,0.4,0.1,0.6,1.1,4.8,11.1,0.487,0.295,0.201,5.1,16.6,10.8,14.9,1.4,0.6,10.5,16.5,0.2,0.4,0.6,0.039,-1.7,-1,-2.7,-0.1,14.98473041
25,71,3,15,2.2,5,0.8,2.1,1.4,2.9,0.511,0.8,0.9,0.2,1.4,1.9,0.5,0.1,0.6,0.9,5.9,12.7,0.55,0.423,0.19,1.2,9.5,5.3,17,1.6,0.3,9.5,16.3,1.3,0.6,1.9,0.087,-1,-0.4,-1.4,0.2,14.96291301
19,6,2,18.5,2.3,5.7,1,2.7,1.3,3,0.5,1,1.3,0.5,1.7,1.7,0.3,0.3,1,1.3,6.7,9.5,0.533,0.471,0.235,2.9,9.3,6.2,12.3,0.9,1.4,13.8,16.4,0,0.1,0.1,0.048,-2.8,-2.2,-5,-0.1,14.93353324
26,50,1,12.9,1.8,3,0,0,1.8,3,0.603,1.2,1.7,1.6,2.2,0.8,0.4,0.6,0.4,1.4,4.8,19.2,0.64,0.007,0.55,13,18.8,15.8,8.5,1.4,3.8,9.6,14.1,1.8,1,2.8,0.212,0.1,1,1.2,0.5,14.91412285
25,74,10,14.3,2.8,5.9,1.1,2.7,1.7,3.2,0.557,0.3,0.4,0.3,1.8,1.6,0.3,0,0.7,1.2,6.9,13.1,0.565,0.456,0.059,2.3,13,7.9,15.2,0.9,0.2,10,20.2,1,0.8,1.8,0.082,-0.5,-1.6,-2.1,0,14.91412285
24,81,32,24.2,2.3,5.2,1,2.7,1.3,2.5,0.544,1.1,1.3,0.3,2.4,3.3,0.8,0,0.8,2.1,6.7,11.6,0.588,0.519,0.244,1.5,10.8,6.1,18.9,1.6,0.2,12,11.7,2.8,0.9,3.7,0.09,-2,0.1,-1.9,0.1,14.91412285
22,48,3,18.4,2.2,5.2,1,2.6,1.2,2.6,0.506,0.5,1,0.9,3.7,1.1,0.4,0.4,0.7,1.8,5.8,10.3,0.515,0.506,0.187,5.5,19.2,12.8,7.6,0.9,1.9,10.5,14.4,0.3,1.4,1.7,0.093,-2.4,0.2,-2.2,0,14.90107813
23,76,75,32.2,4.7,11.1,1.7,4.9,3,6.2,0.504,1.9,2.4,0.6,4.1,2.6,0.8,0.1,1.5,2.6,13,11.5,0.536,0.443,0.214,2,14.8,8.1,12.1,1.2,0.4,11,18.6,1.2,0.2,1.5,0.029,-1.4,-1.8,-3.2,-0.8,14.88268137
22,27,0,15.2,1.9,4.6,0.8,3.1,1,1.5,0.492,0.3,0.4,0.6,1.8,1.1,0.5,0.2,0.7,1.4,4.9,9.1,0.507,0.669,0.097,4.2,11.4,8,9.7,1.5,1.2,12.8,15.1,0,0.6,0.6,0.069,-2.8,0.6,-2.2,0,14.8822193
25,82,81,28,4.4,9.6,2.1,5,2.3,4.6,0.568,0.8,1,0.2,2.7,2.1,0.5,0,1,1.9,11.8,12,0.586,0.522,0.099,0.9,10.4,5.7,10.6,1,0.1,8.8,17.4,2.5,1.3,3.8,0.079,-0.3,-0.9,-1.2,0.5,14.87156323
21,58,1,9,1.7,3.2,0.1,0.5,1.6,2.6,0.563,0.3,0.5,0.7,1.4,0.4,0.2,0.3,0.2,0.6,3.9,16.9,0.572,0.169,0.169,9.3,17.1,13.3,6.9,0.8,3.2,5.8,17.5,0.9,0.7,1.6,0.148,0.3,-0.6,-0.3,0.2,14.84986162
24,25,4,21.2,3.1,6.9,1,2,2.1,4.9,0.514,2,2.6,0.8,1.9,3.1,1,0.4,1.7,2.2,9.2,13.9,0.569,0.289,0.37,4,9,6.5,19.7,2.1,1.4,17.3,19,0.5,0.6,1,0.093,-1,0.7,-0.2,0.2,14.82711147
22,81,18,23.2,4.3,9.1,2,5,2.3,4.1,0.584,0.7,0.8,0.4,2,1.2,0.7,0.1,0.7,1.4,11.3,14.2,0.599,0.55,0.09,2,9.5,5.8,7.5,1.4,0.5,6.7,18.7,2.9,1.6,4.5,0.115,0.8,-0.7,0.1,1,14.82043981
